folio_id,line_id,unit_code,transcriber,section,currier,hand,quire,paragraph_id,is_para_start,is_para_end,token,position,token_index,line_length
f1r,f1r.1,P0,H,T,A,1,A,1,True,False,fachys,initial,0,10
f1r,f1r.1,P0,H,T,A,1,A,1,True,False,ykal,medial,1,10
f1r,f1r.1,P0,H,T,A,1,A,1,True,False,ar,medial,2,10
f1r,f1r.1,P0,H,T,A,1,A,1,True,False,ataiin,medial,3,10
f1r,f1r.1,P0,H,T,A,1,A,1,True,False,shol,medial,4,10
f1r,f1r.1,P0,H,T,A,1,A,1,True,False,shory,medial,5,10
f1r,f1r.1,P0,H,T,A,1,A,1,True,False,cth!res,medial,6,10
f1r,f1r.1,P0,H,T,A,1,A,1,True,False,y,medial,7,10
f1r,f1r.1,P0,H,T,A,1,A,1,True,False,kor,medial,8,10
f1r,f1r.1,P0,H,T,A,1,A,1,True,False,sholdy!,final,9,10
f1r,f1r.2,P0,H,T,A,1,A,1,False,False,sory,initial,0,11
f1r,f1r.2,P0,H,T,A,1,A,1,False,False,ckhar,medial,1,11
f1r,f1r.2,P0,H,T,A,1,A,1,False,False,o!r,medial,2,11
f1r,f1r.2,P0,H,T,A,1,A,1,False,False,y,medial,3,11
f1r,f1r.2,P0,H,T,A,1,A,1,False,False,kair,medial,4,11
f1r,f1r.2,P0,H,T,A,1,A,1,False,False,chtaiin,medial,5,11
f1r,f1r.2,P0,H,T,A,1,A,1,False,False,shar,medial,6,11
f1r,f1r.2,P0,H,T,A,1,A,1,False,False,are,medial,7,11
f1r,f1r.2,P0,H,T,A,1,A,1,False,False,cthar,medial,8,11
f1r,f1r.2,P0,H,T,A,1,A,1,False,False,cthar,medial,9,11
f1r,f1r.2,P0,H,T,A,1,A,1,False,False,dan!,final,10,11
f1r,f1r.3,P0,H,T,A,1,A,1,False,False,syaiir,initial,0,9
f1r,f1r.3,P0,H,T,A,1,A,1,False,False,sheky,medial,1,9
f1r,f1r.3,P0,H,T,A,1,A,1,False,False,or,medial,2,9
f1r,f1r.3,P0,H,T,A,1,A,1,False,False,ykaiin,medial,3,9
f1r,f1r.3,P0,H,T,A,1,A,1,False,False,shod,medial,4,9
f1r,f1r.3,P0,H,T,A,1,A,1,False,False,cthoary,medial,5,9
f1r,f1r.3,P0,H,T,A,1,A,1,False,False,cthes,medial,6,9
f1r,f1r.3,P0,H,T,A,1,A,1,False,False,daraiin,medial,7,9
f1r,f1r.3,P0,H,T,A,1,A,1,False,False,sa,final,8,9
f1r,f1r.4,P0,H,T,A,1,A,1,False,False,o!oiin,initial,0,9
f1r,f1r.4,P0,H,T,A,1,A,1,False,False,oteey,medial,1,9
f1r,f1r.4,P0,H,T,A,1,A,1,False,False,oteos,medial,2,9
f1r,f1r.4,P0,H,T,A,1,A,1,False,False,roloty,medial,3,9
f1r,f1r.4,P0,H,T,A,1,A,1,False,False,cth?ar,medial,4,9
f1r,f1r.4,P0,H,T,A,1,A,1,False,False,daiin,medial,5,9
f1r,f1r.4,P0,H,T,A,1,A,1,False,False,otaiin,medial,6,9
f1r,f1r.4,P0,H,T,A,1,A,1,False,False,or,medial,7,9
f1r,f1r.4,P0,H,T,A,1,A,1,False,False,okan,final,8,9
f1r,f1r.5,P0,H,T,A,1,A,1,False,False,dair,initial,0,6
f1r,f1r.5,P0,H,T,A,1,A,1,False,False,y,medial,1,6
f1r,f1r.5,P0,H,T,A,1,A,1,False,False,chear,medial,2,6
f1r,f1r.5,P0,H,T,A,1,A,1,False,False,cthaiin,medial,3,6
f1r,f1r.5,P0,H,T,A,1,A,1,False,False,cphar,medial,4,6
f1r,f1r.5,P0,H,T,A,1,A,1,False,False,cfhaiin,final,5,6
f1r,f1r.6,Pt,H,T,A,1,A,1,False,True,ydar!aish!y,only,0,1
f1r,f1r.7,P0,H,T,A,1,A,2,True,False,?!,initial,0,11
f1r,f1r.7,P0,H,T,A,1,A,2,True,False,odar,medial,1,11
f1r,f1r.7,P0,H,T,A,1,A,2,True,False,o,medial,2,11
f1r,f1r.7,P0,H,T,A,1,A,2,True,False,!y,medial,3,11
f1r,f1r.7,P0,H,T,A,1,A,2,True,False,shol,medial,4,11
f1r,f1r.7,P0,H,T,A,1,A,2,True,False,cphoy,medial,5,11
f1r,f1r.7,P0,H,T,A,1,A,2,True,False,oydar,medial,6,11
f1r,f1r.7,P0,H,T,A,1,A,2,True,False,sh!,medial,7,11
f1r,f1r.7,P0,H,T,A,1,A,2,True,False,s,medial,8,11
f1r,f1r.7,P0,H,T,A,1,A,2,True,False,cfhoaiin,medial,9,11
f1r,f1r.7,P0,H,T,A,1,A,2,True,False,shodary,final,10,11
f1r,f1r.8,P0,H,T,A,1,A,2,False,False,yshey,initial,0,9
f1r,f1r.8,P0,H,T,A,1,A,2,False,False,shody,medial,1,9
f1r,f1r.8,P0,H,T,A,1,A,2,False,False,okcho!y,medial,2,9
f1r,f1r.8,P0,H,T,A,1,A,2,False,False,otchol,medial,3,9
f1r,f1r.8,P0,H,T,A,1,A,2,False,False,chocthy,medial,4,9
f1r,f1r.8,P0,H,T,A,1,A,2,False,False,os!chy,medial,5,9
f1r,f1r.8,P0,H,T,A,1,A,2,False,False,dain,medial,6,9
f1r,f1r.8,P0,H,T,A,1,A,2,False,False,chor,medial,7,9
f1r,f1r.8,P0,H,T,A,1,A,2,False,False,kos,final,8,9
f1r,f1r.9,P0,H,T,A,1,A,2,False,False,daiin,initial,0,4
f1r,f1r.9,P0,H,T,A,1,A,2,False,False,shos,medial,1,4
f1r,f1r.9,P0,H,T,A,1,A,2,False,False,cfhol,medial,2,4
f1r,f1r.9,P0,H,T,A,1,A,2,False,False,shody,final,3,4
f1r,f1r.10,Pt,H,T,A,1,A,2,False,True,dain,initial,0,3
f1r,f1r.10,Pt,H,T,A,1,A,2,False,True,os,medial,1,3
f1r,f1r.10,Pt,H,T,A,1,A,2,False,True,teody,final,2,3
f1r,f1r.11,P0,H,T,A,1,A,3,True,False,?!,initial,0,9
f1r,f1r.11,P0,H,T,A,1,A,3,True,False,ydain,medial,1,9
f1r,f1r.11,P0,H,T,A,1,A,3,True,False,cphesaiin,medial,2,9
f1r,f1r.11,P0,H,T,A,1,A,3,True,False,ol,medial,3,9
f1r,f1r.11,P0,H,T,A,1,A,3,True,False,s,medial,4,9
f1r,f1r.11,P0,H,T,A,1,A,3,True,False,cphey,medial,5,9
f1r,f1r.11,P0,H,T,A,1,A,3,True,False,ytain,medial,6,9
f1r,f1r.11,P0,H,T,A,1,A,3,True,False,shoshy,medial,7,9
f1r,f1r.11,P0,H,T,A,1,A,3,True,False,cphodal!es,final,8,9
f1r,f1r.12,P0,H,T,A,1,A,3,False,False,oksho,initial,0,8
f1r,f1r.12,P0,H,T,A,1,A,3,False,False,kshoy,medial,1,8
f1r,f1r.12,P0,H,T,A,1,A,3,False,False,otairin,medial,2,8
f1r,f1r.12,P0,H,T,A,1,A,3,False,False,oteol,medial,3,8
f1r,f1r.12,P0,H,T,A,1,A,3,False,False,okan,medial,4,8
f1r,f1r.12,P0,H,T,A,1,A,3,False,False,shodain,medial,5,8
f1r,f1r.12,P0,H,T,A,1,A,3,False,False,sckhey,medial,6,8
f1r,f1r.12,P0,H,T,A,1,A,3,False,False,daiin,final,7,8
f1r,f1r.13,P0,H,T,A,1,A,3,False,False,shoy,initial,0,9
f1r,f1r.13,P0,H,T,A,1,A,3,False,False,ckhey,medial,1,9
f1r,f1r.13,P0,H,T,A,1,A,3,False,False,kodaiin,medial,2,9
f1r,f1r.13,P0,H,T,A,1,A,3,False,False,cphy,medial,3,9
f1r,f1r.13,P0,H,T,A,1,A,3,False,False,cphodaiils,medial,4,9
f1r,f1r.13,P0,H,T,A,1,A,3,False,False,cthey,medial,5,9
f1r,f1r.13,P0,H,T,A,1,A,3,False,False,she,medial,6,9
f1r,f1r.13,P0,H,T,A,1,A,3,False,False,oldain,medial,7,9
f1r,f1r.13,P0,H,T,A,1,A,3,False,False,d!,final,8,9
f1r,f1r.14,P0,H,T,A,1,A,3,False,False,dain,initial,0,10
